scenario,run_id,model,config,trial,outcome,stage,detail,observed_1,observed_2
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",18,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",19,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",20,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",21,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",22,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",23,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",24,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",25,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",26,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",27,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",28,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=QUORUM",29,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",0,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",1,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",2,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",3,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",4,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",5,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",6,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",7,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",8,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",9,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",10,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=QUORUM",11,PASS,check,"W1 via n1, W2+observer via n2",1,1
